#k-distance frequency[THz]
0.22296668 2.34022585
0.22558232 2.34204784
0.22819797 2.34256616
0.23081362 2.34149573
0.23342926 2.33858484
0.23604491 2.33362254
0.23866059 2.32644078
0.24127623 2.31691234
0.24389188 2.30494615
0.24650753 2.29048212
0.24912317 2.27348654
0.25173882 2.25394875
0.25435450 2.23187883
0.25697014 2.20730611
0.25958579 2.18027773
0.26220144 2.15085720
0.26481708 2.11912236
0.26743273 2.08516300
0.27004841 2.04907799
0.27266405 2.01097210
0.27527970 1.97095281
0.27789535 1.92912716
0.28051099 1.88559887
0.28312664 1.84046582
0.28574228 1.79381801
0.28835796 1.74573589
0.29097361 1.69628927
0.29358925 1.64553655
0.29620490 1.59352445
0.29882055 1.54028813
0.30143619 1.52840717
0.30405187 1.55437377
0.30666752 1.58171702
0.30928316 1.60900634
0.31189881 1.63414114
0.31451446 1.65393754
0.31713010 1.66360777
0.31974578 1.65664605
0.32236143 1.62644392
0.32497707 1.56997790
0.32759272 1.48983831
0.33020837 1.39193537
0.33282401 1.28220131
0.33543969 1.16497446
0.33805534 1.04292539
0.34067098 0.91760519
0.34328663 0.78994477
0.34590228 0.66054946
0.34851792 0.52985071
0.35113360 0.39818305
0.35374925 0.26582490
0.35636489 0.13302163
0.35898054 -0.00000082
0.35898054 -0.00000082
0.36161931 0.13654497
0.36425805 0.27276882
0.36689682 0.40833888
0.36953559 0.54289724
0.37217433 0.67604197
0.37481310 0.80729917
0.37745187 0.93607852
0.38009061 1.06159980
0.38272938 1.18276830
0.38536815 1.29796260
0.38800689 1.40468917
0.39064566 1.49911640
0.39328443 1.57583769
0.39592317 1.62902371
0.39856194 1.65590563
0.40120071 1.65952252
0.40383945 1.64663692
0.40647822 1.62394741
0.40911699 1.59688103
0.41175573 1.57262240
0.41439450 1.58519839
0.41703327 1.64549112
0.41967201 1.71331646
0.42231078 1.78198922
0.42494955 1.85037705
0.42758829 1.91807085
0.43022706 1.98482856
0.43286583 2.05046045
0.43550457 2.11479774
0.43814334 2.17768408
0.44078211 2.23897507
0.44342085 2.29854084
0.44605962 2.35626999
0.44869839 2.41207352
0.45133713 2.46588820
0.45397590 2.51767870
0.45661464 2.56743838
0.45925341 2.61518844
0.46189218 2.66097579
0.46453092 2.70486970
0.46716969 2.74695756
0.46980846 2.78733977
0.47244720 2.82611661
0.47508597 2.84946865
0.47772474 2.85406499
0.48036348 2.85892112
0.48300225 2.86423368
0.48564102 2.87019809
0.48827976 2.87701699
0.49091853 2.88489315
0.49355730 2.89402057
0.49619604 2.90457590
0.49883481 2.91671104
0.50147358 2.93054735
0.50411232 2.94617160
0.50675109 2.96363326
0.50938986 2.98294243
0.51202860 3.00406741
0.51466737 3.02692994
0.51730614 3.05139412
0.51994488 3.07723966
0.52258365 3.10409311
0.52522242 3.13123400
0.52786116 3.15697963
0.53049993 3.17674750
0.53313870 3.18110726
0.53577744 3.16671115
0.53841621 3.14087746
0.54105498 3.10901384
0.54369372 3.07359268
0.54633249 3.03984348
0.54633249 3.03984348
0.54880676 3.03984348
0.55128102 3.03984348
0.55375529 3.03984348
0.55622956 3.03984348
0.55870383 3.03984348
0.56117810 3.03984348
0.56365237 3.03984348
0.56365237 3.03984348
0.56629114 3.07359268
0.56892988 3.10901384
0.57156865 3.14087746
0.57420742 3.16671115
0.57684616 3.18110726
0.57948493 3.17674750
0.58212370 3.15697963
0.58476244 3.13123400
0.58740121 3.10409311
0.59003998 3.07723966
0.59267872 3.05139412
0.59531749 3.02692994
0.59795626 3.00406741
0.60059500 2.98294243
0.60323377 2.96363326
0.60587254 2.94617160
0.60851128 2.93054735
0.61115005 2.91671104
0.61378882 2.90457590
0.61642756 2.89402057
0.61906633 2.88489315
0.62170509 2.87701699
0.62434384 2.87019809
0.62698261 2.86423368
0.62962137 2.85892112
0.63226012 2.85406499
0.63489889 2.84946865
0.63753765 2.82611661
0.64017640 2.78733977
0.64281517 2.74695756
0.64545393 2.70486970
0.64809268 2.66097579
0.65073144 2.61518844
0.65337021 2.56743838
0.65600896 2.51767870
0.65864772 2.46588820
0.66128647 2.41207352
0.66392524 2.35626999
0.66656400 2.29854084
0.66920275 2.23897507
0.67184152 2.17768408
0.67448028 2.11479774
0.67711903 2.05046045
0.67975779 1.98482856
0.68239656 1.91807085
0.68503531 1.85037705
0.68767407 1.78198922
0.69031284 1.71331646
0.69295159 1.64549112
0.69559035 1.58519839
0.69822912 1.57262240
0.70086787 1.59688103
0.70350663 1.62394741
0.70614540 1.64663692
0.70878415 1.65952252
0.71142291 1.65590563
0.71406168 1.62902371
0.71670042 1.57583769
0.71933919 1.49911640
0.72197796 1.40468917
0.72461670 1.29796260
0.72725547 1.18276830
0.72989424 1.06159980
0.73253298 0.93607852
0.73517175 0.80729917
0.73781052 0.67604197
0.74044926 0.54289724
0.74308803 0.40833888
0.74572680 0.27276882
0.74836554 0.13654497
0.75100431 -0.00000083

0.00000000 -0.00000011
0.00247427 -0.00000018
0.00494854 -0.00000019
0.00742281 -0.00000023
0.00989707 -0.00000020
0.01237134 -0.00000016
0.01484561 -0.00000020
0.01731988 -0.00000025
0.01731988 -0.00000025
0.01993553 0.14058835
0.02255117 0.28082264
0.02516682 0.42034255
0.02778250 0.55877495
0.03039814 0.69572686
0.03301379 0.83077841
0.03562944 0.96347803
0.03824508 1.09334695
0.04086073 1.21991123
0.04347641 1.34279727
0.04609205 1.46191441
0.04870770 1.57758897
0.05132335 1.69030675
0.05393899 1.80017683
0.05655464 1.90679705
0.05917032 2.00952045
0.06178596 2.10769150
0.06440161 2.20075210
0.06701726 2.28827982
0.06963290 2.36999633
0.07224855 2.44575798
0.07486423 2.50446960
0.07747987 2.54319956
0.08009552 2.58133707
0.08271117 2.61865315
0.08532681 2.65486548
0.08794246 2.68958502
0.09055814 2.72222044
0.09317378 2.75182301
0.09578943 2.77691887
0.09840507 2.79563656
0.10102072 2.80665118
0.10363637 2.81032643
0.10625201 2.80833875
0.10886769 2.80242837
0.11148334 2.79384390
0.11409898 2.78339144
0.11671463 2.77160060
0.11933028 2.75884581
0.12194592 2.74541736
0.12456160 2.73156051
0.12717725 2.71749688
0.12979289 2.70343531
0.13240854 2.68957641
0.13502419 2.67611244
0.13763983 2.66322367
0.14025551 2.65107195
0.14287116 2.63979258
0.14548680 2.62948627
0.14810245 2.62021326
0.15071810 2.61199165
0.15333374 2.60480097
0.15594942 2.59859041
0.15856507 2.59328977
0.16118071 2.58882062
0.16379636 2.58510563
0.16641201 2.58207502
0.16902765 2.57967007
0.17164333 2.57784434
0.17425898 2.57656340
0.17687462 2.57580383
0.17949027 2.57555211
0.17949027 2.57555211
0.18196454 2.57555211
0.18443881 2.57555211
0.18691308 2.57555211
0.18938734 2.57555211
0.19186161 2.57555211
0.19433588 2.57555211
0.19681015 2.57555211
0.19681015 2.57555211
0.19942580 2.57580383
0.20204144 2.57656340
0.20465709 2.57784434
0.20727277 2.57967007
0.20988841 2.58207502
0.21250406 2.58510563
0.21511971 2.58882062
0.21773535 2.59328977
0.22035100 2.59859041
0.22296668 2.60480097
0.22558232 2.61199165
0.22819797 2.62021326
0.23081362 2.62948627
0.23342926 2.63979258
0.23604491 2.65107195
0.23866059 2.66322367
0.24127623 2.67611244
0.24389188 2.68957641
0.24650753 2.70343531
0.24912317 2.71749688
0.25173882 2.73156051
0.25435450 2.74541736
0.25697014 2.75884581
0.25958579 2.77160060
0.26220144 2.78339144
0.26481708 2.79384390
0.26743273 2.80242837
0.27004841 2.80833875
0.27266405 2.81032643
0.27527970 2.80665118
0.27789535 2.79563656
0.28051099 2.77691887
0.28312664 2.75182301
0.28574228 2.72222044
0.28835796 2.68958502
0.29097361 2.65486548
0.29358925 2.61865315
0.29620490 2.58133707
0.29882055 2.54319956
0.30143619 2.50446960
0.30405187 2.44575798
0.30666752 2.36999633
0.30928316 2.28827982
0.31189881 2.20075210
0.31451446 2.10769150
0.31713010 2.00952045
0.31974578 1.90679705
0.32236143 1.80017683
0.32497707 1.69030675
0.32759272 1.57758897
0.33020837 1.46191441
0.33282401 1.34279727
0.33543969 1.21991123
0.33805534 1.09334695
0.34067098 0.96347803
0.34328663 0.83077841
0.34590228 0.69572686
0.34851792 0.55877495
0.35113360 0.42034255
0.35374925 0.28082264
