#k-distance eigenvalue[eV]
0.71902002 -4.83267025
0.78438549 -4.76577025
0.84975095 -4.71477025
0.91511641 -4.67687025
0.98048188 -4.66557025
1.04584734 -4.70477025
1.11121277 -4.71787025
1.17657824 -4.48137025
1.24194370 -4.32827025
1.30730916 -4.14047025
1.37267463 -3.92117025
1.43804009 -3.73677025
1.50340556 -3.55267025
1.56877099 -3.39687025
1.63413645 -3.30717025
1.69950192 -3.19297025
1.76486738 -3.12207025
1.76486738 -3.12207025
1.83279716 -3.19807025
1.90072696 -3.33337025
1.96865674 -3.42617025
2.03658652 -3.53657025
2.10451632 -3.66637025
2.17244610 -3.80737025
2.24037588 -3.95177025
2.30830568 -4.09277025
2.37623546 -4.22487025
2.44416523 -4.34367025
2.51209503 -4.42417025
2.58002481 -4.52067025
2.64795459 -4.57427025
2.71588439 -4.58867025
2.78381417 -4.59217025

0.00000000 -4.42077025
0.07353615 -4.46917025
0.14707228 -4.52877025
0.22060842 -4.54617025
0.29414457 -4.47767025
0.36768070 -4.38467025
0.44121685 -4.30997025
0.51475300 -4.27127025
0.58828913 -4.23837025
0.58828913 -4.23837025
0.65365459 -4.27847025
0.71902002 -4.32577025
0.78438549 -4.36067025
0.84975095 -4.38417025
0.91511641 -4.40347025
0.98048188 -4.40417025
1.04584734 -4.35487025
1.11121277 -4.25827025
1.17657824 -4.21677025
1.24194370 -4.08847025
1.30730916 -3.88307025
1.37267463 -3.68367025
1.43804009 -3.51367025
1.50340556 -3.37687025
1.56877099 -3.26477025
1.63413645 -3.17797025
1.69950192 -3.13527025
1.76486738 -3.09577025
1.76486738 -3.09577025
1.83279716 -3.13757025
1.90072696 -3.18217025
1.96865674 -3.26537025
2.03658652 -3.38107025
2.10451632 -3.51417025
2.17244610 -3.65627025
2.24037588 -3.79937025
2.30830568 -3.93687025
2.37623546 -4.06317025
2.44416523 -4.17357025
2.51209503 -4.26477025
2.58002481 -4.33477025
2.64795459 -4.38337025
2.71588439 -4.41157025
2.78381417 -4.42077025

0.00000000 -3.85527025
0.07353615 -3.95447025
0.14707228 -4.17637025
0.22060842 -4.36287025
0.29414457 -4.38297025
0.36768070 -4.35027025
0.44121685 -4.29567025
0.51475300 -4.23827025
0.58828913 -4.23827025
0.58828913 -4.23827025
0.65365459 -4.21547025
0.71902002 -4.19997025
0.78438549 -4.19257025
0.84975095 -4.19307025
0.91511641 -4.20077025
0.98048188 -4.21367025
1.04584734 -4.22907025
1.11121277 -4.23917025
1.17657824 -4.13117025
1.24194370 -3.98347025
1.30730916 -3.82217025
1.37267463 -3.65567025
1.43804009 -3.49697025
1.50340556 -3.35967025
1.56877099 -3.25237025
1.63413645 -3.17347025
1.69950192 -3.11507025
1.76486738 -3.09577025
1.76486738 -3.09577025
1.83279716 -3.11547025
1.90072696 -3.17227025
1.96865674 -3.24497025
2.03658652 -3.32517025
2.10451632 -3.41297025
2.17244610 -3.50317025
2.24037588 -3.59107025
2.30830568 -3.67207025
2.37623546 -3.74207025
2.44416523 -3.79747025
2.51209503 -3.83557025
2.58002481 -3.85577025
2.64795459 -3.86077025
2.71588439 -3.85767025
2.78381417 -3.85527025

0.00000000 -3.26107025
0.07353615 -3.26267025
0.14707228 -3.27407025
0.22060842 -3.30577025
0.29414457 -3.36387025
0.36768070 -3.44797025
0.44121685 -3.54637025
0.51475300 -3.62997025
0.58828913 -3.66177025
0.58828913 -3.66177025
0.65365459 -3.64147025
0.71902002 -3.59397025
0.78438549 -3.53077025
0.84975095 -3.45037025
0.91511641 -3.34727025
0.98048188 -3.22007025
1.04584734 -3.07387025
1.11121277 -2.91847025
1.17657824 -2.89457025
1.24194370 -2.87197025
1.30730916 -2.83667025
1.37267463 -2.78497025
1.43804009 -2.71147025
1.50340556 -2.61527025
1.56877099 -2.64607025
1.63413645 -2.70897025
1.69950192 -2.76237025
1.76486738 -2.78797025
1.76486738 -2.78797025
1.83279716 -2.76067025
1.90072696 -2.70457025
1.96865674 -2.64127025
2.03658652 -2.65387025
2.10451632 -2.76107025
2.17244610 -2.84767025
2.24037588 -2.91657025
2.30830568 -2.98107025
2.37623546 -3.06127025
2.44416523 -3.16257025
2.51209503 -3.24497025
2.58002481 -3.28067025
2.64795459 -3.28037025
2.71588439 -3.26757025
2.78381417 -3.26107025

0.00000000 -3.00287025
0.07353615 -2.99207025
0.14707228 -2.99067025
0.22060842 -3.00467025
0.29414457 -3.02777025
0.36768070 -3.05527025
0.44121685 -3.08187025
0.51475300 -3.10167025
0.58828913 -3.10917025
0.58828913 -3.10917025
0.65365459 -3.10267025
0.71902002 -3.08247025
0.78438549 -3.04787025
0.84975095 -2.99727025
0.91511641 -2.92847025
0.98048188 -2.89387025
1.04584734 -2.90597025
1.11121277 -2.90607025
1.17657824 -2.76737025
1.24194370 -2.63857025
1.30730916 -2.55247025
1.37267463 -2.52067025
1.43804009 -2.53677025
1.50340556 -2.58417025
1.56877099 -2.50997025
1.63413645 -2.42387025
1.69950192 -2.37607025
1.76486738 -2.36277025
1.76486738 -2.36277025
1.83279716 -2.37717025
1.90072696 -2.42997025
1.96865674 -2.52527025
2.03658652 -2.57117025
2.10451632 -2.53357025
2.17244610 -2.53427025
2.24037588 -2.59287025
2.30830568 -2.70387025
2.37623546 -2.82297025
2.44416523 -2.90207025
2.51209503 -2.94517025
2.58002481 -2.97097025
2.64795459 -2.98807025
2.71588439 -2.99887025
2.78381417 -3.00287025

0.00000000 -2.90077025
0.07353615 -2.89487025
0.14707228 -2.87697025
0.22060842 -2.84827025
0.29414457 -2.81187025
0.36768070 -2.77067025
0.44121685 -2.72517025
0.51475300 -2.67437025
0.58828913 -2.61637025
0.58828913 -2.61637025
0.65365459 -2.67377025
0.71902002 -2.73167025
0.78438549 -2.78547025
0.84975095 -2.83177025
0.91511641 -2.86787025
0.98048188 -2.83727025
1.04584734 -2.72617025
1.11121277 -2.59677025
1.17657824 -2.45687025
1.24194370 -2.31557025
1.30730916 -2.18077025
1.37267463 -2.05607025
1.43804009 -1.93997025
1.50340556 -1.82587025
1.56877099 -1.70647025
1.63413645 -1.58427025
1.69950192 -1.48427025
1.76486738 -1.44457025
1.76486738 -1.44457025
1.83279716 -1.48737025
1.90072696 -1.59477025
1.96865674 -1.72367025
2.03658652 -1.84577025
2.10451632 -1.95877025
2.17244610 -2.06957025
2.24037588 -2.17947025
2.30830568 -2.28777025
2.37623546 -2.39867025
2.44416523 -2.51377025
2.51209503 -2.62667025
2.58002481 -2.72657025
2.64795459 -2.80267025
2.71588439 -2.87287025
2.78381417 -2.90077025

0.00000000 -2.86387025
0.07353615 -2.81797025
0.14707228 -2.70987025
0.22060842 -2.60607025
0.29414457 -2.53837025
0.36768070 -2.51187025
0.44121685 -2.52197025
0.51475300 -2.56007025
0.58828913 -2.61637025
0.58828913 -2.61637025
0.65365459 -2.55787025
0.71902002 -2.49267025
0.78438549 -2.42167025
0.84975095 -2.34647025
0.91511641 -2.26967025
0.98048188 -2.19387025
1.04584734 -2.12177025
1.11121277 -2.05487025
1.17657824 -1.99157025
1.24194370 -1.92517025
1.30730916 -1.84577025
1.37267463 -1.75117025
1.43804009 -1.65377025
1.50340556 -1.56977025
1.56877099 -1.50827025
1.63413645 -1.46977025
1.69950192 -1.45027025
1.76486738 -1.44457025
1.76486738 -1.44457025
1.83279716 -1.45057025
1.90072696 -1.47027025
1.96865674 -1.50787025
2.03658652 -1.56777025
2.10451632 -1.65327025
2.17244610 -1.76437025
2.24037588 -1.89817025
2.30830568 -2.04927025
2.37623546 -2.21077025
2.44416523 -2.37507025
2.51209503 -2.53357025
2.58002481 -2.67707025
2.64795459 -2.79437025
2.71588439 -2.84877025
2.78381417 -2.86387025

0.00000000 -0.66797025
0.07353615 -0.65037025
0.14707228 -0.60407025
0.22060842 -0.54207025
0.29414457 -0.47697025
0.36768070 -0.41707025
0.44121685 -0.36577025
0.51475300 -0.32207025
0.58828913 -0.28227025
0.58828913 -0.28227025
0.65365459 -0.30547025
0.71902002 -0.30757025
0.78438549 -0.29047025
0.84975095 -0.25547025
0.91511641 -0.20637025
0.98048188 -0.14967025
1.04584734 -0.09247025
1.11121277 -0.03937025
1.17657824 0.01042975
1.24194370 0.06482975
1.30730916 0.13692975
1.37267463 0.24172975
1.43804009 0.39052975
1.50340556 0.58372975
1.56877099 0.80622975
1.63413645 1.02572975
1.69950192 1.19402975
1.76486738 1.25872975
1.76486738 1.25872975
1.83279716 1.18762975
1.90072696 0.99462975
1.96865674 0.72742975
2.03658652 0.43252975
2.10451632 0.14802975
2.17244610 -0.09617025
2.24037588 -0.28007025
2.30830568 -0.40087025
2.37623546 -0.47297025
2.44416523 -0.51847025
2.51209503 -0.55557025
2.58002481 -0.59307025
2.64795459 -0.62967025
2.71588439 -0.65747025
2.78381417 -0.66797025

0.00000000 1.13352975
0.07353615 1.03042975
0.14707228 0.79702975
0.22060842 0.52202975
0.29414457 0.25872975
0.36768070 0.03962975
0.44121685 -0.12067025
0.51475300 -0.22407025
0.58828913 -0.28207025
0.58828913 -0.28207025
0.65365459 -0.24587025
0.71902002 -0.20567025
0.78438549 -0.15947025
0.84975095 -0.10597025
0.91511641 -0.04387025
0.98048188 0.02832975
1.04584734 0.11312975
1.11121277 0.21312975
1.17657824 0.33022975
1.24194370 0.46432975
1.30730916 0.61152975
1.37267463 0.76412975
1.43804009 0.91132975
1.50340556 1.04122975
1.56877099 1.14382975
1.63413645 1.21322975
1.69950192 1.24932975
1.76486738 1.25882975
1.76486738 1.25882975
1.83279716 1.25012975
1.90072696 1.22642975
1.96865674 1.19332975
2.03658652 1.15802975
2.10451632 1.12732975
2.17244610 1.10532975
2.24037588 1.09342975
2.30830568 1.09052975
2.37623546 1.09422975
2.44416523 1.10192975
2.51209503 1.11122975
2.58002481 1.12012975
2.64795459 1.12732975
2.71588439 1.13192975
2.78381417 1.13352975

0.00000000 1.72902975
0.07353615 1.81632975
0.14707228 1.99142975
0.22060842 2.16732975
0.29414457 2.33782975
0.36768070 2.51362975
0.44121685 2.69762975
0.51475300 2.75032975
0.58828913 2.73672975
0.58828913 2.73672975
0.65365459 2.73712975
0.71902002 2.71962975
0.78438549 2.69562975
0.84975095 2.69082975
0.91511641 2.71402975
0.98048188 2.76252975
1.04584734 2.82632975
1.11121277 2.89142975
1.17657824 2.94172975
1.24194370 2.95702975
1.30730916 2.91262975
1.37267463 2.79092975
1.43804009 2.59672975
1.50340556 2.35042975
1.56877099 2.07922975
1.63413645 1.82172975
1.69950192 1.63172975
1.76486738 1.56172975
1.76486738 1.56172975
1.83279716 1.63702975
1.90072696 1.83752975
1.96865674 2.09882975
2.03658652 2.35142975
2.10451632 2.53182975
2.17244610 2.57832975
2.24037588 2.48502975
2.30830568 2.32702975
2.37623546 2.15952975
2.44416523 2.00682975
2.51209503 1.88022975
2.58002481 1.78742975
2.64795459 1.73372975
2.71588439 1.72012975
2.78381417 1.72902975

0.00000000 1.80612975
0.07353615 1.91272975
0.14707228 2.19882975
0.22060842 2.57312975
0.29414457 2.89532975
0.36768070 2.87902975
0.44121685 2.80012975
0.51475300 2.87972975
0.58828913 3.01302975
0.58828913 3.01302975
0.65365459 2.96772975
0.71902002 2.99272975
0.78438549 3.05662975
0.84975095 3.11552975
0.91511641 3.19432975
0.98048188 3.27552975
1.04584734 3.34102975
1.11121277 3.37532975
1.17657824 3.36792975
1.24194370 3.31062975
1.30730916 3.19812975
1.37267463 3.03272975
1.43804009 2.82022975
1.50340556 2.56952975
1.56877099 2.29912975
1.63413645 2.04402975
1.69950192 1.85532975
1.76486738 1.78452975
1.76486738 1.78452975
1.83279716 1.86082975
1.90072696 2.06152975
1.96865674 2.32162975
2.03658652 2.56392975
2.10451632 2.71872975
2.17244610 2.76442975
2.24037588 2.72212975
2.30830568 2.60562975
2.37623546 2.45512975
2.44416523 2.30832975
2.51209503 2.17952975
2.58002481 2.06342975
2.64795459 1.95132975
