#k-distance eigenvalue[eV]
1.33139117 -14.94561161
1.39331634 -15.06251161
1.45524151 -15.16431161
1.51716669 -15.24951161
1.57909186 -15.31691161
1.64101703 -15.36561161
1.70294221 -15.39511161
1.76486738 -15.40501161
1.76486738 -15.40501161
1.81849616 -15.39761161
1.87212494 -15.37541161
1.92575372 -15.33881161
1.97938250 -15.28791161
2.03301128 -15.22331161
2.08664006 -15.14571161
2.14026884 -15.05581161
2.19389762 -14.95491161
2.24752640 -14.84431161
2.30115516 -14.72591161
2.35478394 -14.60181161
2.40841272 -14.47491161
2.46204149 -14.34861161
2.51567027 -14.22711161
2.56929905 -14.11531161
2.62292783 -14.01891161
2.67655661 -13.94401161
2.73018539 -13.89671161
2.78381417 -13.88061161

0.00000000 -13.72961161
0.03096259 -13.72861161
0.06192517 -13.72561161
0.09288776 -13.72071161
0.12385035 -13.71401161
0.15481293 -13.70561161
0.18577552 -13.69561161
0.21673811 -13.68431161
0.24770069 -13.67191161
0.27866328 -13.65871161
0.30962587 -13.64511161
0.34058845 -13.63141161
0.37155104 -13.61811161
0.40251363 -13.60571161
0.43347621 -13.59461161
0.46443878 -13.58561161
0.49540137 -13.57901161
0.52636395 -13.57561161
0.55732654 -13.58061161
0.58828913 -13.57911161
0.58828913 -13.57911161
0.65021430 -13.57581161
0.71213947 -13.59211161
0.77406465 -13.63231161
0.83598982 -13.69691161
0.89791496 -13.78431161
0.95984013 -13.89081161
1.02176530 -14.01171161
1.08369048 -14.14171161
1.14561565 -14.27561161
1.20754082 -14.40881161
1.26946600 -14.53721161
1.33139117 -14.65721161
1.39331634 -14.76621161
1.45524151 -14.86181161
1.51716669 -14.94221161
1.57909186 -15.00611161
1.64101703 -15.05241161
1.70294221 -15.08051161
1.76486738 -15.08991161
1.76486738 -15.08991161
1.81849616 -15.08281161
1.87212494 -15.06181161
1.92575372 -15.02691161
1.97938250 -14.97861161
2.03301128 -14.91751161
2.08664006 -14.84421161
2.14026884 -14.76001161
2.19389762 -14.66591161
2.24752640 -14.56351161
2.30115516 -14.45501161
2.35478394 -14.34251161
2.40841272 -14.22911161
2.46204149 -14.11811161
2.51567027 -14.01361161
2.56929905 -13.91981161
2.62292783 -13.84101161
2.67655661 -13.78111161
2.73018539 -13.74301161
2.78381417 -13.72961161

0.00000000 -13.49351161
0.03096259 -13.49331161
0.06192517 -13.49251161
0.09288776 -13.49131161
0.12385035 -13.48981161
0.15481293 -13.48811161
0.18577552 -13.48651161
0.21673811 -13.48521161
0.24770069 -13.48451161
0.27866328 -13.48471161
0.30962587 -13.48621161
0.34058845 -13.48941161
0.37155104 -13.49461161
0.40251363 -13.50241161
0.43347621 -13.51321161
0.46443878 -13.52711161
0.49540137 -13.54461161
0.52636395 -13.56491161
0.55732654 -13.57571161
0.58828913 -13.57911161
0.58828913 -13.57911161
0.65021430 -13.55741161
0.71213947 -13.49521161
0.77406465 -13.43601161
0.83598982 -13.38341161
0.89791496 -13.33891161
0.95984013 -13.30381161
1.02176530 -13.27851161
1.08369048 -13.26301161
1.14561565 -13.25671161
1.20754082 -13.25851161
1.26946600 -13.26681161
1.33139117 -13.27991161
1.39331634 -13.29601161
1.45524151 -13.31311161
1.51716669 -13.32961161
1.57909186 -13.34411161
1.64101703 -13.35531161
1.70294221 -13.36241161
1.76486738 -13.36481161
1.76486738 -13.36481161
1.81849616 -13.36301161
1.87212494 -13.35761161
1.92575372 -13.34901161
1.97938250 -13.33771161
2.03301128 -13.32441161
2.08664006 -13.31001161
2.14026884 -13.29551161
2.19389762 -13.28221161
2.24752640 -13.27171161
2.30115516 -13.26541161
2.35478394 -13.26491161
2.40841272 -13.27191161
2.46204149 -13.28761161
2.51567027 -13.31301161
2.56929905 -13.34811161
2.62292783 -13.39131161
2.67655661 -13.43771161
2.73018539 -13.47711161
2.78381417 -13.49351161

0.00000000 -8.51681161
0.03096259 -8.51511161
0.06192517 -8.50981161
0.09288776 -8.50111161
